Price,Close,High,Low,Open,Volume,sma,ema,wma,rsi_5,mtm_5,cci_5,wr_5,atr_5,target
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,,,,,,,,
Date,,,,,,,,,,,,,,
2024-05-15,188.8368682861328,189.76253191302303,186.49780129168897,187.03529613574696,70400000,185.29344177246094,185.5409887605536,186.30072835286458,85.3222983528225,7.193878173828125,114.43987007169164,-10.58415355574559,3.4286835838734415,-1
2024-05-16,188.95631408691406,190.21045865928463,188.7771592552961,189.58338637309936,52845200,186.39230041503907,186.6794305360071,187.5216857910156,85.5268957979336,5.494293212890625,97.41820945133337,-14.046920861819611,3.029606747769435,-1
2024-05-17,188.9861602783203,189.92178705781208,188.29936976198016,188.62783545187153,41282900,187.74994812011718,187.44834045011152,188.3863057454427,85.5896358899739,6.788238525390625,62.359106049637106,-18.981774157165376,2.74816885731027,-1
2024-05-20,190.1507110595703,191.02661956084452,188.13016182957105,188.44867953467443,44361300,188.69751586914063,188.34913065326447,189.18656005859376,88.1046489761066,4.7378387451171875,82.72389209091344,-15.6306537397769,2.7778266321089515,-1
2024-05-21,191.4546356201172,191.83285642957057,190.03128423275254,190.20049107683238,42309400,189.67693786621095,189.38429897554872,190.10559997558593,90.43989224859968,4.8971099853515625,144.37248537637868,-7.089351462702265,2.5825757450189486,-1
2024-05-22,190.01138305664062,191.92245910983817,189.38432593982932,191.37501623979523,34648500,189.9118408203125,189.59332700257937,190.21708170572916,71.12203590257384,1.1745147705078125,49.980992097825116,-50.39362454894189,2.57368723001577,-1
2024-05-23,186.0100860595703,190.11090276702717,185.76124979940406,190.09099161364105,51005900,189.32259521484374,188.3989133549097,188.91649678548177,40.86930389467641,-2.94622802734375,-137.95596791873234,-95.9612431970969,2.928880377574284,1
2024-05-24,189.0956573486328,189.6928704821682,187.16468542966413,187.94106857836448,36294600,189.34449462890626,188.6311613528174,188.84085083007812,58.06393622747899,0.1094970703125,-45.11469440131086,-45.880631849629275,3.0796611865915833,1
2024-05-28,189.10562133789062,192.10160462638697,188.21976480489596,190.61853495727325,52280100,189.1354766845703,188.78931468117514,188.76122639973957,58.11310232936829,-1.0450897216796875,19.555464973154795,-47.25261235769036,3.2400969135821787,1
2024-05-29,189.40420532226562,191.35508832801628,188.62783738828333,188.7273779696699,53068000,188.725390625,188.9942782282053,188.85080261230468,59.87521666555305,-2.0504302978515625,40.66170947738585,-42.543349350763634,3.137527718806856,1
2024-05-30,190.39956665039062,191.2854232244703,189.7426503955058,189.8720349370489,49947900,188.80302734375,189.4627077022671,189.4088612874349,65.85994419574908,0.38818359375,85.91331787571181,-26.84452246667509,2.886265755475685,1
2024-05-31,191.3551025390625,191.67362027294615,189.02599856414395,190.5488754083416,75158300,189.87203063964844,190.09350598119892,190.25955301920573,71.04275318237798,5.3450164794921875,95.82752860140614,-15.120808293155896,2.838536946139358,1
